Month,Store,Metric,Amount (Rs Lakhs)
April 2024,EGL,Gross Sales,14.4392
April 2024,ITPL,Gross Sales,66.8198
April 2024,RMZ,Gross Sales,16.9561
April 2024,KOR,Gross Sales,42.951
April 2024,DIV,Gross Sales,21.892
April 2024,IND,Gross Sales,62.9006
April 2024,BAG,Gross Sales,18.9167
April 2024,MAN,Gross Sales,23.2786
April 2024,ECW-old,Gross Sales,28.5587
April 2024,MTP,Gross Sales,8.5981
April 2024,VIR,Gross Sales,28.2773
April 2024,ARK,Gross Sales,49.7136
April 2024,HSR,Gross Sales,72.7085
April 2024,CVR,Gross Sales,9.8245
April 2024,ORW,Gross Sales,30.0939
April 2024,EST,Gross Sales,32.4122
April 2024,JPN,Gross Sales,47.7408
April 2024,SYH,Gross Sales,43.8442
April 2024,ETF,Gross Sales,19.5917
April 2024,GSC,Gross Sales,13.7889
April 2024,ECN,Gross Sales,25.3513
April 2024,RGA,Gross Sales,24.5728
April 2024,KNP,Gross Sales,21.4534
April 2024,KCK,Gross Sales,42.5764
April 2024,BVG,Gross Sales,32.1548
April 2024,CLA,Gross Sales,29.4783
April 2024,IBC,Gross Sales,11.1775
April 2024,BTG,Gross Sales,20.8137
April 2024,ECT,Gross Sales,36.8296
April 2024,RRR,Gross Sales,24.2203
April 2024,SHV,Gross Sales,28.1804
April 2024,DCB,Gross Sales,7.3861
April 2024,VBP,Gross Sales,49.0741
April 2024,ADM,Gross Sales,66.8072
April 2024,SFC,Gross Sales,45.1095
April 2024,SCK,Gross Sales,43.6756
April 2024,SES,Gross Sales,26.0007
April 2024,JIG,Gross Sales,42.8721
April 2024,GCN,Gross Sales,29.6665
April 2024,ANN,Gross Sales,34.6115
April 2024,SKO,Gross Sales,40.8446
April 2024,JAP,Gross Sales,22.6669
April 2024,DWR,Gross Sales,26.2463
April 2024,AVK,Gross Sales,24.6875
April 2024,CYG,Gross Sales,24.6412
April 2024,NSS,Gross Sales,31.499
April 2024,GEB,Gross Sales,28.416
April 2024,ROH,Gross Sales,20.8115
April 2024,EKL,Gross Sales,46.4541
April 2024,PBF,Gross Sales,18.0435
April 2024,KBB,Gross Sales,21.7992
April 2024,IHY,Gross Sales,36.2951
April 2024,DCH,Gross Sales,25.9707
April 2024,HAA,Gross Sales,0.0
April 2024,SCH,Gross Sales,24.1166
April 2024,LTP,Gross Sales,23.8934
April 2024,FSM,Gross Sales,16.943
April 2024,GSM,Gross Sales,24.4108
April 2024,PPM,Gross Sales,19.6544
April 2024,FLM,Gross Sales,29.8571
April 2024,FDN,Gross Sales,68.4773
April 2024,DTK,Gross Sales,37.8034
April 2024,AKA,Gross Sales,19.1988
April 2024,HIM,Gross Sales,22.0003
April 2024,SMR,Gross Sales,44.3146
April 2024,DLP,Gross Sales,24.212
April 2024,EXA,Gross Sales,30.6689
April 2024,VRA,Gross Sales,20.519
April 2024,CPM,Gross Sales,23.5992
April 2024,KTP,Gross Sales,33.9388
April 2024,CAR,Gross Sales,16.4188
April 2024,VEL,Gross Sales,27.3903
April 2024,EGL,Net Sales,13.8262
April 2024,ITPL,Net Sales,65.6578
April 2024,RMZ,Net Sales,16.3679
April 2024,KOR,Net Sales,42.1576
April 2024,DIV,Net Sales,21.3768
April 2024,IND,Net Sales,62.2268
April 2024,BAG,Net Sales,18.2231
April 2024,MAN,Net Sales,22.6084
April 2024,ECW-old,Net Sales,28.4427
April 2024,MTP,Net Sales,8.1887
April 2024,VIR,Net Sales,27.7221
April 2024,ARK,Net Sales,49.054
April 2024,HSR,Net Sales,71.8032
April 2024,CVR,Net Sales,9.3567
April 2024,ORW,Net Sales,29.0365
April 2024,EST,Net Sales,32.0501
April 2024,JPN,Net Sales,47.0237
April 2024,SYH,Net Sales,43.4311
April 2024,ETF,Net Sales,18.6587
April 2024,GSC,Net Sales,13.132
April 2024,ECN,Net Sales,24.827
April 2024,RGA,Net Sales,24.3162
April 2024,KNP,Net Sales,21.088
April 2024,KCK,Net Sales,42.5752
April 2024,BVG,Net Sales,31.5273
April 2024,CLA,Net Sales,29.4529
April 2024,IBC,Net Sales,10.9033
April 2024,BTG,Net Sales,20.4911
April 2024,ECT,Net Sales,36.2615
April 2024,RRR,Net Sales,23.7604
April 2024,SHV,Net Sales,27.7644
April 2024,DCB,Net Sales,7.3861
April 2024,VBP,Net Sales,48.3955
April 2024,ADM,Net Sales,66.2878
April 2024,SFC,Net Sales,45.1043
April 2024,SCK,Net Sales,43.6718
April 2024,SES,Net Sales,25.9989
April 2024,JIG,Net Sales,42.5805
April 2024,GCN,Net Sales,29.3534
April 2024,ANN,Net Sales,34.0351
April 2024,SKO,Net Sales,40.2598
April 2024,JAP,Net Sales,22.6646
April 2024,DWR,Net Sales,26.2451
April 2024,AVK,Net Sales,24.349
April 2024,CYG,Net Sales,24.1686
April 2024,NSS,Net Sales,31.4986
April 2024,GEB,Net Sales,28.1537
April 2024,ROH,Net Sales,20.8115
April 2024,EKL,Net Sales,46.0075
April 2024,PBF,Net Sales,17.7788
April 2024,KBB,Net Sales,21.7352
April 2024,IHY,Net Sales,35.155
April 2024,DCH,Net Sales,25.9707
April 2024,HAA,Net Sales,0.0
April 2024,SCH,Net Sales,22.9915
April 2024,LTP,Net Sales,23.4364
April 2024,FSM,Net Sales,16.1362
April 2024,GSM,Net Sales,24.0992
April 2024,PPM,Net Sales,19.2831
April 2024,FLM,Net Sales,29.4219
April 2024,FDN,Net Sales,67.5467
April 2024,DTK,Net Sales,37.1414
April 2024,AKA,Net Sales,18.9969
April 2024,HIM,Net Sales,21.4688
April 2024,SMR,Net Sales,43.84
April 2024,DLP,Net Sales,23.3628
April 2024,EXA,Net Sales,29.9012
April 2024,VRA,Net Sales,20.0079
April 2024,CPM,Net Sales,22.6735
April 2024,KTP,Net Sales,33.1568
April 2024,CAR,Net Sales,15.8745
April 2024,VEL,Net Sales,26.7877
April 2024,EGL,COGS (food +packaging),5.4151
April 2024,ITPL,COGS (food +packaging),25.2468
April 2024,RMZ,COGS (food +packaging),6.3465
April 2024,KOR,COGS (food +packaging),15.4274
April 2024,INB,COGS (food +packaging),0.0
April 2024,DIV,COGS (food +packaging),7.8108
April 2024,IND,COGS (food +packaging),22.474
April 2024,BAG,COGS (food +packaging),6.7777
April 2024,ECO-old,COGS (food +packaging),0.0
April 2024,DLF,COGS (food +packaging),0.0
April 2024,MAN,COGS (food +packaging),8.3867
April 2024,ECW-old,COGS (food +packaging),9.807
April 2024,MTP,COGS (food +packaging),3.6145
April 2024,ETV,COGS (food +packaging),0.0
April 2024,VIR,COGS (food +packaging),9.5255
