month,store,aggregator_commission,cam,cogs_food_pluspackaging,gross_sales,marketing_&_advertisement,net_sales,other_opex_expenses,rent,utility_cost,store_labor_cost,total_outlet_expenses,outlet_ebitda
April 2024,ADM,12.2696,1.1417,24.8927,66.8072,0.67,66.2878,2.3323,4.5679,1.3745,6.9129,54.16160000000001,12.126199999999997
April 2024,AKA,3.3515,0.59,7.2515,19.1988,1.2327,18.9969,0.8386,1.593,1.058,3.1993,19.114600000000003,-0.1177000000000028
April 2024,ANN,4.9308,0.8615,12.5664,34.6115,1.6197,34.0351,1.7909,3.7569,1.3171,3.9428,30.786099999999998,3.2490000000000023
April 2024,ARK,7.9876,0.0,17.1965,49.7136,0.318,49.054,1.6262,1.475,1.7764,3.8905,34.2702,14.7838
April 2024,AUR,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
April 2024,AVK,3.864,0.7591,9.827,24.6875,1.8728,24.349,1.0333,2.4874,0.841,4.1116,24.796200000000002,-0.44720000000000226
April 2024,BAG,0.9852,0.3098,6.7777,18.9167,0.0295,18.2231,0.9109,2.1504,0.6722,2.9218,14.7575,3.4655999999999985
April 2024,BTG,3.1661,0.2602,6.7788,20.8137,0.1755,20.4911,1.0619,1.8177,0.0,3.1095,16.3697,4.121399999999998
April 2024,BVG,4.2422,0.118,11.7386,32.1548,0.3491,31.5273,1.5397,1.405,1.3398,3.4521,24.1845,7.3428
April 2024,CAR,1.1127,0.693,6.5572,16.4188,1.0383,15.8745,0.719,1.7769,0.85,2.3032,15.0503,0.8241999999999994
April 2024,CLA,6.3671,0.0,11.151,29.4783,1.5773,29.4529,1.4846,0.3469,1.1629,3.577,25.6668,3.786100000000001
April 2024,CPM,0.9346,0.7499,8.1691,23.5992,0.053,22.6735,1.3716,3.4785,0.9944,3.3822,19.1333,3.5402000000000022
April 2024,CVR,0.0,0.295,3.3297,9.8245,0.0512,9.3567,0.9691,1.1709,0.8753,2.5722,9.263399999999999,0.09330000000000105
April 2024,CYG,3.2214,0.8937,7.6319,24.6412,0.2791,24.1686,1.2619,2.7767,0.6978,2.5803,19.342799999999997,4.8258000000000045
April 2024,DCB,0.0,0.0,2.6854,7.3861,0.0248,7.3861,1.1594,0.0,0.0,1.8744,5.744,1.6421000000000001
April 2024,DCH,0.0,0.0,10.5239,25.9707,0.0977,25.9707,3.1046,0.0,0.0,2.9838,16.71,9.2607
April 2024,DIV,2.5301,0.177,7.8108,21.892,0.0295,21.3768,1.0867,2.5226,1.4747,3.0237,18.6551,2.7216999999999985
