Month,Metric,Store,Amount
Apr 2024,Gross Sales,EGL,14.4
Apr 2024,GST,EGL,0.6
Apr 2024,Net Sales,EGL,13.8
Apr 2024,COGS (food +packaging),EGL,5.4
Apr 2024,Gross margin,EGL,8.4
Apr 2024,store Labor Cost,EGL,2.6
Apr 2024,Utility Cost,EGL,0.8
Apr 2024,Rent ,EGL,1.7
Apr 2024,CAM,EGL,0.0
Apr 2024,Aggregator commission,EGL,0.0
Apr 2024,Marketing & advertisement,EGL,0.2
Apr 2024,Other opex expenses,EGL,1.3
Apr 2024,Total outlet expenses,EGL,6.7
Apr 2024,Outlet EBITDA,EGL,1.7
May 2024,Gross Sales,EGL,16.3
May 2024,GST,EGL,0.7
May 2024,Net Sales,EGL,15.6
May 2024,COGS (food +packaging),EGL,6.4
May 2024,Gross margin,EGL,9.1
May 2024,store Labor Cost,EGL,2.6
May 2024,Utility Cost,EGL,0.9
May 2024,Rent ,EGL,1.9
May 2024,CAM,EGL,0.0
May 2024,Aggregator commission,EGL,0.0
May 2024,Marketing & advertisement,EGL,0.1
May 2024,Other opex expenses,EGL,1.2
May 2024,Total outlet expenses,EGL,6.6
May 2024,Outlet EBITDA,EGL,2.5
Jun 2024,Gross Sales,EGL,16.1
Jun 2024,GST,EGL,0.7
Jun 2024,Net Sales,EGL,15.4
Jun 2024,COGS (food +packaging),EGL,6.4
Jun 2024,Gross margin,EGL,9.0
Jun 2024,store Labor Cost,EGL,2.4
Jun 2024,Utility Cost,EGL,0.9
Jun 2024,Rent ,EGL,1.9
Jun 2024,CAM,EGL,0.0
Jun 2024,Aggregator commission,EGL,0.0
Jun 2024,Marketing & advertisement,EGL,0.0
Jun 2024,Other opex expenses,EGL,1.0
Jun 2024,Total outlet expenses,EGL,6.3
Jun 2024,Outlet EBITDA,EGL,2.7
Jul 2024,Gross Sales,EGL,18.2
Jul 2024,GST,EGL,0.8
Jul 2024,Net Sales,EGL,17.4
Jul 2024,COGS (food +packaging),EGL,6.6
Jul 2024,Gross margin,EGL,10.8
Jul 2024,store Labor Cost,EGL,2.9
Jul 2024,Utility Cost,EGL,0.8
Jul 2024,Rent ,EGL,2.7
Jul 2024,CAM,EGL,0.0
Jul 2024,Aggregator commission,EGL,0.0
Jul 2024,Marketing & advertisement,EGL,0.1
Jul 2024,Other opex expenses,EGL,1.4
Jul 2024,Total outlet expenses,EGL,7.9
Jul 2024,Outlet EBITDA,EGL,2.9
Aug 2024,Gross Sales,EGL,15.4
Aug 2024,GST,EGL,0.6
Aug 2024,Net Sales,EGL,14.7
Aug 2024,COGS (food +packaging),EGL,5.7
Aug 2024,Gross margin,EGL,9.0
Aug 2024,store Labor Cost,EGL,2.9
Aug 2024,Utility Cost,EGL,0.7
Aug 2024,Rent ,EGL,2.4
Aug 2024,CAM,EGL,0.0
Aug 2024,Aggregator commission,EGL,0.0
Aug 2024,Marketing & advertisement,EGL,0.1
Aug 2024,Other opex expenses,EGL,1.4
Aug 2024,Total outlet expenses,EGL,7.5
Aug 2024,Outlet EBITDA,EGL,1.6
May 2025,Gross Sales,EGL,19.5
May 2025,GST,EGL,0.8
May 2025,Net Sales,EGL,18.7
May 2025,COGS (food +packaging),EGL,6.4
May 2025,Gross margin,EGL,12.3
May 2025,store Labor Cost,EGL,3.8
May 2025,Utility Cost,EGL,0.8
May 2025,Rent ,EGL,2.9
May 2025,CAM,EGL,0.0
May 2025,Aggregator commission,EGL,0.0
May 2025,Marketing & advertisement,EGL,0.0
May 2025,Other opex expenses,EGL,1.4
May 2025,Total outlet expenses,EGL,9.0
May 2025,Outlet EBITDA,EGL,3.3
Apr 2024,Gross Sales,ITPL,66.8
Apr 2024,GST,ITPL,1.2
Apr 2024,Net Sales,ITPL,65.7
Apr 2024,COGS (food +packaging),ITPL,25.2
Apr 2024,Gross margin,ITPL,40.4
Apr 2024,store Labor Cost,ITPL,6.3
Apr 2024,Utility Cost,ITPL,1.7
Apr 2024,Rent ,ITPL,6.2
Apr 2024,CAM,ITPL,0.0
Apr 2024,Aggregator commission,ITPL,9.5
Apr 2024,Marketing & advertisement,ITPL,1.2
Apr 2024,Other opex expenses,ITPL,2.0
