Month,Store,Metric,Amount
Apr 24,EGL,Gross Sales,1443916.0
Apr 24,EGL,Net Sales,1382617.82
Apr 24,EGL,COGS (food +packaging),541505.3072999845
Apr 24,EGL,Gross margin,841112.5127000156
Apr 24,EGL,store Labor Cost,262392.3408
Apr 24,EGL,Utility Cost,83000.0
Apr 24,EGL,CAM,0.0
Apr 24,EGL,Aggregator commission,0.0
Apr 24,EGL,Marketing & advertisement,21471.89
Apr 24,EGL,Other opex expenses,128807.075
Apr 24,ITPL,Gross Sales,6681978.0
Apr 24,ITPL,Net Sales,6565784.7
Apr 24,ITPL,COGS (food +packaging),2524675.169743327
Apr 24,ITPL,Gross margin,4041109.530256673
Apr 24,ITPL,store Labor Cost,633892.42532
Apr 24,ITPL,Utility Cost,171046.23
Apr 24,ITPL,CAM,0.0
Apr 24,ITPL,Aggregator commission,949764.41
Apr 24,ITPL,Marketing & advertisement,119106.58
Apr 24,ITPL,Other opex expenses,196965.0980000005
Apr 24,RMZ,Gross Sales,1695609.0
Apr 24,RMZ,Net Sales,1636790.64
Apr 24,RMZ,COGS (food +packaging),634647.220294447
Apr 24,RMZ,Gross margin,1002143.419705553
Apr 24,RMZ,store Labor Cost,252397.53484
Apr 24,RMZ,Utility Cost,51068.94
Apr 24,RMZ,CAM,18880.0
Apr 24,RMZ,Aggregator commission,102911.46
Apr 24,RMZ,Marketing & advertisement,4161.18
Apr 24,RMZ,Other opex expenses,90411.12700000001
Apr 24,KOR,Gross Sales,4295096.0
Apr 24,KOR,Net Sales,4215757.84
Apr 24,KOR,COGS (food +packaging),1542736.868797666
Apr 24,KOR,Gross margin,2673020.971202334
Apr 24,KOR,store Labor Cost,420228.4198
Apr 24,KOR,Utility Cost,178133.0
Apr 24,KOR,CAM,0.0
Apr 24,KOR,Aggregator commission,596666.95
Apr 24,KOR,Marketing & advertisement,98699.43
Apr 24,KOR,Other opex expenses,186630.7830000001
Apr 24,INB,Gross Sales,
Apr 24,INB,Net Sales,
Apr 24,INB,COGS (food +packaging),0.0
Apr 24,INB,Gross margin,0.0
Apr 24,INB,store Labor Cost,0.0
Apr 24,INB,Utility Cost,0.0
Apr 24,INB,CAM,0.0
Apr 24,INB,Aggregator commission,0.0
Apr 24,INB,Marketing & advertisement,
Apr 24,INB,Other opex expenses,0.0
Apr 24,DIV,Gross Sales,2189198.0
Apr 24,DIV,Net Sales,2137679.94
Apr 24,DIV,COGS (food +packaging),781077.4080838211
Apr 24,DIV,Gross margin,1356602.531916179
Apr 24,DIV,store Labor Cost,302366.690168
Apr 24,DIV,Utility Cost,147473.0
Apr 24,DIV,CAM,17700.0
Apr 24,DIV,Aggregator commission,253008.63
Apr 24,DIV,Marketing & advertisement,2945.63
Apr 24,DIV,Other opex expenses,108667.3720000001
Apr 24,IND,Gross Sales,6290065.0
Apr 24,IND,Net Sales,6222678.66
Apr 24,IND,COGS (food +packaging),2247399.926112656
Apr 24,IND,Gross margin,3975278.733887345
Apr 24,IND,store Labor Cost,537015.843
Apr 24,IND,Utility Cost,210726.0
Apr 24,IND,CAM,0.0
Apr 24,IND,Aggregator commission,1098450.57
Apr 24,IND,Marketing & advertisement,71368.81
Apr 24,IND,Other opex expenses,191033.3669999998
Apr 24,BAG,Gross Sales,1891672.0
Apr 24,BAG,Net Sales,1822314.82
Apr 24,BAG,COGS (food +packaging),677773.6726922371
Apr 24,BAG,Gross margin,1144541.147307763
Apr 24,BAG,store Labor Cost,292178.6568
Apr 24,BAG,Utility Cost,67217.0
Apr 24,BAG,CAM,30975.0
Apr 24,BAG,Aggregator commission,98519.6
Apr 24,BAG,Marketing & advertisement,2945.63
Apr 24,BAG,Other opex expenses,91091.44800000003
Apr 24,ECO-old,Gross Sales,
Apr 24,ECO-old,Net Sales,
Apr 24,ECO-old,COGS (food +packaging),0.0
Apr 24,ECO-old,Gross margin,0.0
Apr 24,ECO-old,store Labor Cost,0.0
Apr 24,ECO-old,Utility Cost,0.0
Apr 24,ECO-old,CAM,0.0
Apr 24,ECO-old,Aggregator commission,
Apr 24,ECO-old,Marketing & advertisement,0.0
Apr 24,ECO-old,Other opex expenses,0.0
Apr 24,DLF,Gross Sales,
Apr 24,DLF,Net Sales,
Apr 24,DLF,COGS (food +packaging),0.0
Apr 24,DLF,Gross margin,0.0
Apr 24,DLF,store Labor Cost,0.0
