Month,Store,Metric,Amount,Percent of Net Sales
Apr 24,Total,Gross Sales,217111011.0704762,1.015938336445032
Apr 24,Total,Net Sales,213704910.31,1.0
Apr 24,Total,COGS (food +packaging),79924764.28825268,0.3739959188224264
Apr 24,Total,Gross margin,133780146.0217473,0.6260040811775736
Apr 24,Total,store Labor Cost,24883500.32447865,0.1164385988528887
Apr 24,Total,Utility Cost,8276984.57,0.0387309049567154
Apr 24,Total,CAM,2084097.9,0.009752222805628617
Apr 24,Total,Aggregator commission,31595403.83000001,0.1478459422582652
Apr 24,Total,Marketing & advertisement,7226502.010000004,0.03381532974379134
Apr 24,Total,Other opex expenses,9703112.720161805,0.0454042572352993
Apr 24,EGL,Gross Sales,1443916.0,1.044334869052968
Apr 24,EGL,Net Sales,1382617.82,1.0
Apr 24,EGL,COGS (food +packaging),541505.3072999845,0.3916521973512423
Apr 24,EGL,Gross margin,841112.5127000156,0.6083478026487577
Apr 24,EGL,store Labor Cost,262392.3408,0.1897793714245633
Apr 24,EGL,Utility Cost,83000.0,0.06003105037370341
Apr 24,EGL,CAM,0.0,0.0
Apr 24,EGL,Aggregator commission,0.0,0.0
Apr 24,EGL,Marketing & advertisement,21471.89,0.01552988084588697
Apr 24,EGL,Other opex expenses,128807.075,0.09316173503390833
Apr 24,ITPL,Gross Sales,6681978.0,1.017696788016823
Apr 24,ITPL,Net Sales,6565784.7,1.0
Apr 24,ITPL,COGS (food +packaging),2524675.169743327,0.3845199446980537
Apr 24,ITPL,Gross margin,4041109.530256673,0.6154800553019464
Apr 24,ITPL,store Labor Cost,633892.42532,0.0965448083181893
Apr 24,ITPL,Utility Cost,171046.23,0.02605114815903116
Apr 24,ITPL,CAM,0.0,0.0
Apr 24,ITPL,Aggregator commission,949764.41,0.1446536024856252
Apr 24,ITPL,Marketing & advertisement,119106.58,0.0181404943113654
Apr 24,ITPL,Other opex expenses,196965.0980000005,0.02999871409124952
Apr 24,RMZ,Gross Sales,1695609.0,1.035935176168896
Apr 24,RMZ,Net Sales,1636790.64,1.0
Apr 24,RMZ,COGS (food +packaging),634647.220294447,0.3877387888132395
Apr 24,RMZ,Gross margin,1002143.419705553,0.6122612111867606
Apr 24,RMZ,store Labor Cost,252397.53484,0.1542026992774103
Apr 24,RMZ,Utility Cost,51068.94,0.0312006549597571
Apr 24,RMZ,CAM,18880.0,0.01153476781856475
Apr 24,RMZ,Aggregator commission,102911.46,0.06287392992423271
Apr 24,RMZ,Marketing & advertisement,4161.18,0.00254227993385886
Apr 24,RMZ,Other opex expenses,90411.12700000001,0.0552368304110048
Apr 24,KOR,Gross Sales,4295096.0,1.01881943010275
Apr 24,KOR,Net Sales,4215757.84,1.0
Apr 24,KOR,COGS (food +packaging),1542736.868797666,0.3659453240316256
Apr 24,KOR,Gross margin,2673020.971202334,0.6340546759683745
Apr 24,KOR,store Labor Cost,420228.4198,0.09968039810370133
Apr 24,KOR,Utility Cost,178133.0,0.04225408734577601
Apr 24,KOR,CAM,0.0,0.0
Apr 24,KOR,Aggregator commission,596666.95,0.141532548273693
Apr 24,KOR,Marketing & advertisement,98699.43,0.02341202548768788
Apr 24,KOR,Other opex expenses,186630.7830000001,0.04426980630367518
Apr 24,INB,Gross Sales,,
Apr 24,INB,Net Sales,,
Apr 24,INB,COGS (food +packaging),0.0,
Apr 24,INB,Gross margin,0.0,
Apr 24,INB,store Labor Cost,0.0,
Apr 24,INB,Utility Cost,0.0,
Apr 24,INB,CAM,0.0,
Apr 24,INB,Aggregator commission,0.0,
Apr 24,INB,Marketing & advertisement,,
Apr 24,INB,Other opex expenses,0.0,
